"URL","template or route source","status code","indexable","canonical URL","robots directive","title tag","meta description","H1","page type","primary intent","city/branch relevance","schema types","internal links in","internal links out","duplicate-content risk","technical issue summary","content issue summary","action needed","priority"
"https://svijetsluha.com","home","200","yes","https://svijetsluha.com","","Svijet Sluha — slušni aparati i besplatna provjera sluha","Svijet Sluha — besplatna provjera sluha i slušni aparati vodećih svjetskih brendova, uz više od 30 godina povjerenja. Posjetite nas u Sarajevu, Banjoj Luci, Gradišci, Bijeljini, Doboju ili Brčkom.","Besplatna provjera sluha — više od 30 godina povjerenja","Homepage","Brand/trust/support","Low","Answer; FAQPage; Organization; Question; WebSite","98","29","Low","No crawl-level issue","Location-count wording drift in production baseline","Monitor or improve content depth","low"
"https://svijetsluha.com/akcije","/akcije","200","yes","https://svijetsluha.com/akcije","","Akcije i popusti — Svijet Sluha","Aktuelne akcije na slušne aparate, baterije i pribor u našim poslovnicama širom BiH.","Aktuelne akcije","General","Brand/trust/support","Low","BreadcrumbList; ListItem; Organization; WebSite","98","23","Low","No crawl-level issue","Location-count wording drift in production baseline","Monitor or improve content depth","low"
"https://svijetsluha.com/akcije/blackfriday","/akcije/blackfriday","404","no","","noindex","Svijet Sluha — slušni aparati i besplatna provjera sluha","Svijet Sluha — besplatna provjera sluha i slušni aparati vodećih svjetskih brendova, uz više od 30 godina povjerenja. Posjetite nas u Sarajevu, Banjoj Luci, Gradišci, Bijeljini, Doboju ili Brčkom.","","General","Brand/trust/support","Low","","0","0","Low","HTTP 404; H1 count 0","No major content issue","Remove from sitemap or restore","critical"
"https://svijetsluha.com/cesta-pitanja","/cesta-pitanja","200","yes","https://svijetsluha.com/cesta-pitanja","","Česta pitanja — provjera sluha, cijene, aparati, servis — Svijet Sluha","Odgovori na pitanja o prvoj posjeti, cijenama i refundaciji, vrstama slušnih aparata, održavanju, servisu i garanciji.","Česta pitanja","FAQ","Informational/AEO","Low","Answer; BreadcrumbList; FAQPage; ListItem; Organization; Question; WebSite","98","23","Low","No crawl-level issue","Location-count wording drift in production baseline","Monitor or improve content depth","low"
"https://svijetsluha.com/cijene-i-finansiranje","/cijene-i-finansiranje","200","yes","https://svijetsluha.com/cijene-i-finansiranje","","Cijene i finansiranje slušnih aparata — Svijet Sluha","Klase slušnih aparata, refundacija kroz zdravstveno osiguranje korak po korak, garancija i servis.","Cijene i finansiranje","General","Brand/trust/support","Low","BreadcrumbList; ListItem; Organization; WebSite","98","23","Low","No crawl-level issue","Location-count wording drift in production baseline","Monitor or improve content depth","low"
"https://svijetsluha.com/kontakt","/kontakt","200","yes","https://svijetsluha.com/kontakt","","Kontakt — pišite nam ili pozovite najbližu poslovnicu — Svijet Sluha","Pitanje za doktora, poruka za poslovnicu ili kupovina — odgovaramo isti radni dan. Telefoni svih 6 poslovnica na jednom mjestu.","Kontaktirajte nas","Contact","Contact conversion","High","BreadcrumbList; ListItem; Organization; WebSite","98","23","Low","No crawl-level issue","Location-count wording drift in production baseline","Monitor or improve content depth","low"
"https://svijetsluha.com/o-nama","/o-nama","200","yes","https://svijetsluha.com/o-nama","","O nama — više od 30 godina brige o sluhu — Svijet Sluha","Svijet Sluha — u saradnji s Audio BM. Od prvog dana do šest poslovnica u BiH: misija, vrijednosti i brendovi sa kojima sarađujemo.","Više od 30 godina slušamo — Vas","General","Brand/trust/support","Low","BreadcrumbList; ListItem; Organization; WebSite","98","23","Low","No crawl-level issue","Location-count wording drift in production baseline","Monitor or improve content depth","low"
"https://svijetsluha.com/online-test-sluha","/online-test-sluha","200","yes","https://svijetsluha.com/online-test-sluha","","Online test sluha — besplatni screening za 5 minuta — Svijet Sluha","Provjerite sluh od kuće za 3–5 minuta: tonovi po frekvencijama za lijevo i desno uho + kratki upitnik. Informativni screening — ne zamjenjuje profesionalnu provjeru sluha.","Online test sluha","Online test","Brand/trust/support","High","BreadcrumbList; ListItem; Organization; WebSite","98","23","Low","No crawl-level issue","Location-count wording drift in production baseline","Monitor or improve content depth","low"
"https://svijetsluha.com/politika-privatnosti","/politika-privatnosti","200","yes","https://svijetsluha.com/politika-privatnosti","","Politika privatnosti — Svijet Sluha","Kako Svijet Sluha prikuplja, koristi i štiti Vaše lične podatke.","Politika privatnosti","General","Brand/trust/support","Low","BreadcrumbList; ListItem; Organization; WebSite","98","23","Low","No crawl-level issue","Location-count wording drift in production baseline","Monitor or improve content depth","low"
"https://svijetsluha.com/poslovnice","poslovnice","200","yes","https://svijetsluha.com/poslovnice","","Poslovnice — Sarajevo, Banja Luka, Gradiška, Bijeljina, Doboj, Brčko — Svijet Sluha","Audio BM poslovnice u šest gradova BiH. Pronađite najbližu, pozovite ili zakažite besplatnu provjeru sluha.","Naše poslovnice","Branch index","Local branch/service","High","BreadcrumbList; ListItem; Organization; WebSite","98","23","Low","No crawl-level issue","Location-count wording drift in production baseline","Monitor or improve content depth","low"
